url,fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other
/fighter/Craig-Fairley-213671,Craig Fairley,Showtime,25/03/1992,29,,"Lincoln, Nebraska",United States,"0'0""",155 lbs,Laselva MMA,Lightweight,3,0,3,0,,3,4,1,0,
/fighter/Karlos-Vemola-40238,Karlos Vemola,The Terminator,01/07/1985,36,,Olomouc,Czech Republic,"6'0""",205 lbs,London Shootfighters,Light Heavyweight,31,8,16,7,,31,1,3,2,
/fighter/Honorio-Banario-62423,Honorio Banario,The Rock,25/09/1989,31,,"Mankayan, Benguet",Philippines,"5'9""",155 lbs,Lakay MMA,Lightweight,15,5,5,5,,15,3,5,2,
/fighter/Mahmoud-Deab-Mohamed-127015,Mahmoud Deab Mohamed,,,,,Cairo,Egypt,"0'0""",155 lbs,,Lightweight,3,1,2,0,,3,1,5,0,
/fighter/Nicolas-Dalby-63608,Nicolas Dalby,Danish Dynamite,16/11/1984,36,,Copenhagen,Denmark,"5'11""",170 lbs,Rumble Sports,Welterweight,19,6,4,9,,19,0,0,4,
/fighter/Zac-Church-105333,Zac Church,,12/11/1987,33,,"Tulsa, Oklahoma",United States,"5'8""",145 lbs,The Factory Tulsa,Featherweight,9,4,4,1,,9,1,2,2,
/fighter/Ying-Qiang-Yang-323489,Ying Qiang Yang,The Pangolin,,,,,China,"5'6""",125 lbs,Super Gain Fighting Gym,Flyweight,1,1,0,0,,1,0,1,2,
/fighter/Alessio-Sakara-5366,Alessio Sakara,Legionarius,02/09/1981,39,,"Rome, Lazio",Italy,"6'1""",205 lbs,American Top Team,Light Heavyweight,21,15,2,4,0,21,6,3,3,1
/fighter/Ahmed-White-284463,Ahmed White,,,,,"Berkeley, California",United States,"5'11""",188 lbs,Rogue Empire MMA,Light Heavyweight,0,0,0,0,,0,1,0,0,
/fighter/Andrew-Natividad-82464,Andrew Natividad,,03/02/1990,31,,"Escondido, California",United States,"5'6""",135 lbs,Escondido Fight Club,Bantamweight,9,4,3,2,,9,3,2,8,
/fighter/Xie-Xiaoxiang-302775,Xie Xiaoxiang,Keyboard Man,,,,,China,"6'4""",170 lbs,AMA Shanghai,Welterweight,1,1,0,0,,1,0,0,1,
/fighter/Daniel-Spitz-172211,Daniel Spitz,Daddy Long Legs,31/07/1990,31,,"Spokane, Washington",United States,"6'7""",240 lbs,Sikjitsu,Heavyweight,6,2,3,1,,6,1,0,2,
/fighter/Steven-Ray-59838,Steven Ray,Braveheart,25/03/1990,31,,"Kirkcaldy, Fife",Scotland,"5'10""",155 lbs,Higher Level MMA,Lightweight,23,6,8,9,,23,2,4,3,
/fighter/Melvin-Yeoh-88785,Melvin Yeoh,Overkill,05/01/1981,40,,"Johor Bahru, Johor",Malaysia,"5'7""",145 lbs,Ultimate MMA Academy,Featherweight,7,3,3,1,,7,2,0,1,
/fighter/Kenneth-Battle-20889,Kenneth Battle,,,,,,United States,"0'0""",155 lbs,,Lightweight,2,1,0,1,,2,1,3,0,
/fighter/Guangyou-Ning-26389,Guangyou Ning,Smasher,15/12/1981,39,,"Cangzhou, Hebei",China,"5'5""",145 lbs,Tiger Muay Thai,Featherweight,5,3,1,1,,5,0,1,3,
/fighter/Philipe-Lins-61438,Philipe Lins,Monstro,17/08/1985,35,,"Natal, Rio Grande do Norte",Brazil,"6'1""",234 lbs,Kimura Nova Uniao,Heavyweight,14,8,4,2,,14,4,0,1,
/fighter/Benson-Henderson-20548,Benson Henderson,Smooth,16/11/1983,37,,"Glendale, Arizona",United States,"5'9""",170 lbs,MMA Lab,Welterweight,28,5,9,14,,28,2,2,6,
/fighter/Keoni-Diggs-60630,Keoni Diggs,,19/11/1986,34,,"Wahiawa, Hawaii",United States,"5'9""",145 lbs,MMA Lab,Featherweight,9,1,6,2,,9,0,0,1,
/fighter/Luping-Wang-319997,Luping Wang,Little Sprouts,,,,Shanxi,China,"5'2""",115 lbs,Sihai Liancheng Fight Gym,Strawweight,3,0,1,2,,3,0,2,1,
/fighter/Itay-Tratner-306575,Itay Tratner,,10/10/2000,20,,Moshav Hemed,Israel,"5'8""",145 lbs,MMA Black Belt,Featherweight,3,0,2,1,,3,0,0,2,
/fighter/Brian-Melancon-43621,Brian Melancon,,28/05/1982,39,,"Houston, Texas",United States,"5'8""",170 lbs,Paradigm Training Center,Welterweight,7,4,1,2,,7,0,1,2,
/fighter/Chiara-Penco-252967,Chiara Penco,Beasty Barbie,21/11/1995,25,,Livorno,Italy,"5'4""",115 lbs,Rendoki Dojo,Strawweight,5,1,4,0,,5,0,0,2,
/fighter/Joe-Solecki-227993,Joe Solecki,,27/08/1993,27,,"Wenonah, New Jersey",United States,"5'9""",155 lbs,Gym-O,Lightweight,11,1,7,3,,11,1,0,1,
/fighter/Nissen-Osterneck-17591,Nissen Osterneck,,01/05/1981,40,,"Maui, Hawaii",United States,"6'2""",185 lbs,Relson Gracie Jiu-Jitsu,Middleweight,13,3,8,2,,13,3,0,1,
/fighter/Raimond-Magomedaliev-191869,Raimond Magomedaliev,,10/06/1990,31,,"Makhachkala, Dagestan",Russia,"6'3""",170 lbs,Eagles MMA,Welterweight,8,4,2,2,,8,0,0,1,
/fighter/Randa-Markos-75417,Randa Markos,Quiet Storm,10/08/1985,36,,"Windsor, Ontario",Canada,"5'5""",115 lbs,Michigan Top Team,Strawweight,10,0,4,6,0,10,0,2,8,1
/fighter/Klayton-Mai-84701,Klayton Mai,The Python,30/11/1986,34,,"Dallas, Texas",United States,"5'9""",125 lbs,Octagon MMA,Flyweight,8,1,7,0,,8,0,3,0,
/fighter/Matt-Arroyo-19456,Matt Arroyo,No Regard,01/09/1982,38,,"Cobleskill, New York",United States,"6'0""",170 lbs,Gracie Tampa South,Welterweight,3,0,3,0,,3,2,0,1,
/fighter/Krzysztof-Soszynski-9178,Krzysztof Soszynski,The Polish Experiment,02/08/1977,44,,"Winnipeg, Manitoba",Canada,"6'1""",205 lbs,Reign MMA,Light Heavyweight,26,11,10,3,2,26,6,1,5,0
/fighter/Josh-Hill-53662,Josh Hill,Gentleman,24/11/1986,34,,"Hamilton, Ontario",Canada,"5'6""",135 lbs,Vision Quest MMA & Fitness,Bantamweight,20,4,4,12,,20,1,0,3,
/fighter/Paul-Ruiz-62183,Paul Ruiz,,23/06/1987,34,,"Firebaugh, California",United States,"5'6""",135 lbs,Team Alpha Male,Bantamweight,7,3,1,3,,7,0,0,3,
/fighter/Chan-Sung-Jung-36155,Chan Sung Jung,The Korean Zombie,17/03/1987,34,,"Gyeongju, North Gyeongsang",South Korea,"5'9""",145 lbs,Fight Ready,Featherweight,17,6,8,3,,17,3,0,3,
/fighter/Luis-Santos-16216,Luis Santos,Sapo,02/01/1980,41,,"Belem, Para",Brazil,"6'1""",170 lbs,American Top Team,Welterweight,65,38,11,16,,65,6,2,4,
/fighter/Samang-Dun-136719,Samang Dun,,,,,,Cambodia,"5'6""",143 lbs,A Fighter,Featherweight,5,1,2,1,1,5,3,0,0,0
/fighter/Rodolfo-Vieira-137167,Rodolfo Vieira,The Black Belt Hunter,25/09/1989,31,,"Rio de Janeiro, Rio de Janeiro",Brazil,"5'11""",185 lbs,Fusion X-Cel,Middleweight,8,1,7,0,,8,0,1,0,
/fighter/Ikuhisa-Minowa-250,Ikuhisa Minowa,Minowaman,12/01/1976,45,,"Nagoya, Aichi",Japan,"5'9""",185 lbs,Kuma Gym,Middleweight,62,11,41,10,,62,16,7,21,
/fighter/Amran-Aliyev-113801,Amran Aliyev,,17/10/1990,30,,"Syracuse, New York",United States,"5'9""",146 lbs,Team Bombsquad,Featherweight,3,2,1,0,,3,0,1,3,
/fighter/Michael-Benjamin-Putnam-37329,Michael Benjamin Putnam,Too Pretty,07/12/1987,33,,"Bellefonte, Pennsylvania",United States,"5'8""",145 lbs,Team Titan PA,Featherweight,2,0,0,2,,2,2,0,1,
/fighter/Rodrigo-Lima-38280,Rodrigo Lima,Ratinho,09/05/1991,30,,"Rio de Janeiro, Rio de Janeiro",Brazil,"5'8""",135 lbs,American Top Team,Bantamweight,13,3,6,4,,13,0,2,2,
/fighter/Josh-Emmett-85885,Josh Emmett,,04/03/1985,36,,"Sacramento, California",United States,"5'6""",145 lbs,Team Alpha Male,Featherweight,16,6,2,8,,16,1,0,1,
/fighter/Aaron-Riley-1567,Aaron Riley,,09/12/1980,40,,"Tell City, Indiana",United States,"5'9""",155 lbs,Jackson-Wink MMA,Lightweight,30,9,10,11,,30,7,2,5,
/fighter/Tony-Kelley-57658,Tony Kelley,PrimeTime,21/01/1987,34,,"Shreveport, Louisiana",United States,"5'10""",145 lbs,Team Alpha Male,Featherweight,7,2,3,2,,7,0,0,2,
/fighter/Douglas-Lima-17236,Douglas Lima,The Phenom,05/01/1988,33,,"Goiania, Goias",Brazil,"6'1""",170 lbs,American Top Team Atlanta,Welterweight,32,16,10,6,,32,1,1,7,
/fighter/Yvonne-Reis-47071,Yvonne Reis,,26/05/1965,56,,"Miami, Florida",United States,"0'0""",145 lbs,,Featherweight,0,0,0,0,,0,2,0,0,
/fighter/Santiago-Ponzinibbio-64593,Santiago Ponzinibbio,Argentine Dagger,26/09/1986,34,,La Plata,Argentina,"6'0""",170 lbs,American Top Team,Welterweight,28,15,6,7,,28,3,0,1,
/fighter/Justin-James-1926,Justin James,Pretty Boy,,,,Nebraska,USA,"5'10""",155 lbs,,Lightweight,13,5,7,1,,13,1,6,0,
/fighter/Leslie-Smith-46542,Leslie Smith,The Peacemaker,17/08/1982,38,,"Pleasant Hill, California",United States,"5'9""",145 lbs,Cesar Gracie Fight Team,Featherweight,12,5,0,7,,12,3,0,6,
/fighter/Jess-Liaudin-3368,Jess Liaudin,Joker,,,,,France,"5'9""",170 lbs,Pancrase London,Welterweight,20,5,12,3,,20,6,1,4,
/fighter/Daniel-Cassell-147021,Daniel Cassell,Pork Chop,26/04/1991,30,,"Birmingham, West Midlands",England,"5'10""",170 lbs,UTC Staffs,Welterweight,4,3,0,1,,4,1,2,1,
/fighter/Anthony-Lapsley-18590,Anthony Lapsley,The Recipe,13/02/1980,41,,"Fort Wayne, Indiana",United States,"5'9""",170 lbs,,Welterweight,23,3,16,4,,23,1,4,2,
/fighter/Michelle-Ould-22532,Michelle Ould,T-Cat,30/09/1981,39,,"Anaheim, California",United States,"5'2""",131 lbs,Team Quest,Bantamweight,7,2,2,3,,7,2,2,0,
/fighter/Cat-Zingano-33932,Cat Zingano,Alpha,01/07/1982,39,,"Broomfield, Colorado",United States,"5'6""",145 lbs,Zingano Brazilian Jiu-Jitsu,Featherweight,12,5,4,3,,12,1,1,2,
/fighter/Steven-Siler-22537,Steven Siler,Super,15/02/1987,34,,"Provo, Utah",United States,"5'11""",145 lbs,Factory X,Featherweight,32,6,17,8,1,32,5,6,11,0
/fighter/Austin-Clem-303227,Austin Clem,The King,05/12/1992,28,,"Springfield, Missouri",United States,"6'0""",155 lbs,Team Fusion Jiu-Jitsu & MMA,Lightweight,4,0,3,1,,4,2,0,0,
/fighter/Chad-Cook-2839,Chad Cook,,,,,"Birmingham, Alabama",United States,"6'2""",220 lbs,,Heavyweight,10,3,5,1,1,10,4,7,1,0
/fighter/TJ-Sumler-53677,T.J. Sumler,The Hyttman,,,,"Buffalo, New York",United States,"0'0""",170 lbs,WNY MMA,Welterweight,5,2,2,1,,5,2,1,3,
/fighter/Richie-Vaculik-21798,Richie Vaculik,Vas,19/06/1983,38,,"Maroubra, New South Wales",Australia,"5'6""",125 lbs,TP Fight Team,Flyweight,10,3,6,1,,10,2,1,2,
/fighter/Johnny-Campbell-59957,Johnny Campbell,Cupcakes,25/03/1987,34,,"Boston, Massachusetts",United States,"5'6""",135 lbs,South Shore Sport Fighting,Bantamweight,21,7,8,6,,21,3,2,8,
/fighter/Norifumi-Yamamoto-1354,Norifumi Yamamoto,Kid,15/03/1977,,18/09/2018,"Tokyo, Kato",Japan,"5'4""",135 lbs,Krazy Bee,Bantamweight,18,13,2,3,,18,1,1,4,
/fighter/Will-Fleury-149881,Will Fleury,,13/03/1989,32,,,Ireland,"6'3""",185 lbs,SBG Ireland,Middleweight,8,2,3,3,,8,1,1,1,
/fighter/Hiroshi-Nakamura-12076,Hiroshi Nakamura,Iron,14/02/1981,40,,"Tokyo, Tokyo",Japan,"5'5""",134 lbs,Carpe Diem Brazilian Jiu-Jitsu,Bantamweight,16,0,2,14,,16,5,0,2,
/fighter/Dietter-Navarro-71520,Dietter Navarro,,15/01/1982,39,,"Miami, Florida",United States,"5'9""",155 lbs,American Top Team,Lightweight,2,0,0,2,,2,2,2,1,
/fighter/Ye-Yint-Aung-219073,Ye  Yint Aung,,07/04/1990,31,,Thayet Chaung,Myanmar,"5'9""",155 lbs,,Lightweight,1,1,0,0,,1,0,0,1,
/fighter/Reant-Febriza-Rainir-191611,Reant Febriza Rainir,No Mercy,26/02/1989,32,,Jakarta,Indonesia,"5'9""",171 lbs,Tigershark Fighting Academy,Welterweight,0,0,0,0,,0,2,1,0,
/fighter/Keremuaili-Maimaitituoheti-227225,Keremuaili Maimaitituoheti,The Mountain Eagle,18/03/1991,30,,Tianjin,China,"5'7""",135 lbs,Dacheng Wuyi,Bantamweight,11,4,2,5,,11,0,1,3,
/fighter/Mehdi-Barghi-279243,Mehdi Barghi,,,,,,Iran,"6'0""",264 lbs,AAA Team,Heavyweight,4,2,2,0,,4,1,0,2,
/fighter/Saw-Thae-Oo-201681,Saw Thae Oo,,,,,Kayin State,Myanmar,"5'6""",155 lbs,S.T.L,Lightweight,0,0,0,0,,0,1,0,0,
/fighter/Tang-De-Pan-214721,Tang De Pan,,06/06/1992,29,,,China,"5'4""",135 lbs,Hunan Provincial Sanda Team,Bantamweight,2,1,0,1,,2,0,1,0,
/fighter/Karo-Parisyan-5153,Karo Parisyan,The Heat,28/08/1982,38,,"North Hollywood, California",United States,"5'10""",169 lbs,,Welterweight,24,3,11,10,,24,7,1,4,
/fighter/Stephen-Stirewalt-207691,Stephen Stirewalt,,,,,Utah,United States,"0'0""",135 lbs,,Bantamweight,3,0,2,1,,3,0,0,2,
/fighter/Leandro-Ataides-38826,Leandro Ataides,Leo,04/09/1986,34,,"Rio de Janeiro, Rio de Janeiro",Brazil,"6'0""",185 lbs,Nova Uniao,Middleweight,11,6,2,3,,11,3,0,2,
/fighter/Chris-Sanford-2656,Chris Sanford,,12/03/1968,53,,"San Francisco, California",United States,"5'11""",185 lbs,Cesar Gracie Jiu-Jitsu,Middleweight,5,1,4,0,,5,1,0,0,
/fighter/Will-Noland-44434,Will Noland,Iron,28/10/1980,40,,"Nine Mile Falls, Washington",United States,"6'2""",185 lbs,Trevor Prangley's American Kickboxing Academy,Middleweight,17,8,6,3,,17,4,3,1,
/fighter/Yuko-Kiryu-199205,Yuko Kiryu,Yuko.S,,,,"Adachi, Tokyo",Japan,"5'2""",106 lbs,Brave,Atomweight,9,0,6,3,,9,1,0,7,
/fighter/Anthony-Lemon-82078,Anthony Lemon,,06/06/1991,30,,"Tullahoma, Tennessee",United States,"5'11""",170 lbs,Team Gravity,Welterweight,4,2,2,0,,4,1,8,1,
/fighter/Dmitriy-Sosnovskiy-116389,Dmitriy Sosnovskiy,Wicked Machine,06/07/1989,32,,Moscow,Russia,"6'3""",240 lbs,GOR MMA,Heavyweight,11,6,3,2,,11,0,0,0,
/fighter/Cub-Swanson-11002,Cub Swanson,Killer,02/11/1983,37,,"Palm Springs, California",United States,"5'8""",145 lbs,UFC Gym Costa Mesa,Featherweight,27,12,4,11,,27,2,7,3,
/fighter/Mike-Rodriguez-107891,Mike Rodriguez,Slow,28/11/1988,32,,"Boston, Massachusetts",United States,"6'3""",205 lbs,Lauzon MMA,Light Heavyweight,11,9,2,0,,11,1,3,2,
/fighter/John-Schulz-79653,John Schulz,The Machine,,,,"Bay City, Michigan",United States,"5'10""",155 lbs,New Body Health & Fitness,Lightweight,5,2,3,0,,5,1,2,0,
/fighter/Blaine-ODriscoll-75570,Blaine O'Driscoll,,31/12/1991,29,,"Dublin, Leinster",Ireland,"5'6""",125 lbs,SBG Ireland,Flyweight,9,3,4,2,,9,1,1,2,
/fighter/Steven-Graham-164,Steven Graham,,,,,"Fayettsville, North Carolina",United States,"6'1""",290 lbs,,Super Heavyweight,2,0,2,0,,2,1,0,0,
/fighter/Robert-Sullivan-117595,Robert Sullivan,Wreck-It Rob,14/08/1983,37,,"Parkville, Maryland",United States,"5'6""",142 lbs,Baltimore BJJ,Featherweight,7,0,1,6,,7,1,1,7,
/fighter/Ulysses-Gomez-30396,Ulysses Gomez,Useless,25/05/1983,38,,"Las Vegas, Nevada",United States,"5'5""",125 lbs,Marc Laimon's Cobra Kai,Flyweight,9,0,7,2,,9,1,1,3,
/fighter/Eric-Huggins-116055,Eric Huggins,,,,,"Bakersfield, California",United States,"6'0""",185 lbs,Bakersfield Elite Martial Arts,Middleweight,1,1,0,0,,1,0,1,0,
/fighter/Christ-Franck-71182,Christ Franck,The Beast,18/09/1982,38,,"Montreal, Quebec",Canada,"6'0""",170 lbs,Champion's Creed MMA,Welterweight,6,3,0,3,0,6,3,0,3,1
/fighter/Nurul-Fikri-279139,Nurul Fikri,,,,,,Indonesia,"5'6""",145 lbs,Gracie Barra,Featherweight,3,0,2,1,,3,1,1,3,
/fighter/Grant-Dawson-103525,Grant Dawson,KGD,20/02/1994,27,,"Stromsburg, Nebraska",United States,"5'10""",155 lbs,Glory MMA & Fitness,Lightweight,17,4,11,2,,17,1,0,0,
/fighter/James-Esposito-248129,James Esposito,,,,,Illinios,United States,"0'0""",145 lbs,,Featherweight,0,0,0,0,,0,1,2,0,
/fighter/Jeb-Chiles-33551,Jeb Chiles,,15/06/1979,42,,"Clinton, Missouri",United States,"6'0""",184 lbs,K2L Grindhouse,Middleweight,8,1,6,1,,8,1,1,0,
/fighter/Marvin-Maldonado-150275,Marvin Maldonado,The Bulldog,,,,"Latham, New York",United States,"5'6""",135 lbs,Renzo Gracie Training Facility,Bantamweight,2,1,1,0,,2,1,0,4,
/fighter/Neil-Seery-14062,Neil Seery,2 Tap,30/08/1979,41,,"Dublin, Leinster",Ireland,"5'6""",125 lbs,Team Ryano MMA,Flyweight,16,6,6,4,0,16,1,6,5,1
/fighter/Aleksandra-Albu-144949,Aleksandra Albu,Stitch,14/07/1990,31,,Moscow,Russia,"5'2""",115 lbs,Red Fury Fight Team,Strawweight,3,1,1,1,,3,0,1,1,
/fighter/Antonio-Carvalho-5346,Antonio Carvalho,Pato,30/05/1979,42,,"Toronto, Ontario",Canada,"5'8""",145 lbs,Bruckmann Martial Arts,Featherweight,15,7,3,5,,15,3,0,3,
/fighter/Claire-Lopez-269797,Claire Lopez,,04/11/1988,32,,,France,"5'4""",115 lbs,Great Britain Top Team,Strawweight,4,2,2,0,,4,0,3,0,
/fighter/Tim-Bazer-3416,Tim Bazer,Timmy B,11/10/1976,44,,"Omaha, Nebraska",United States,"5'11""",166 lbs,Team Bazer,Welterweight,14,4,8,2,0,14,2,10,7,1
/fighter/Blair-Tugman-22846,Blair Tugman,The Bull Shark,,,,"North Haven, Connecticut",United States,"5'7""",135 lbs,Calandrelli Brazilian Jiu-Jitsu,Bantamweight,11,0,4,7,,11,0,2,5,
/fighter/Thiago-de-Oliveira-Perpetuo-53207,Thiago de Oliveira Perpetuo,Bodao,14/12/1986,34,,"Santo Andre, Sao Paulo",Brazil,"5'10""",170 lbs,Furacao Fight Team,Welterweight,9,7,1,1,,9,2,2,0,
/fighter/Darrell-Montague-34214,Darrell Montague,The Mongoose,03/11/1987,33,,"Chino, California",United States,"5'6""",125 lbs,Millennia MMA,Flyweight,13,5,5,3,,13,3,1,1,
/fighter/Rob-Kimmons-9863,Rob Kimmons,The Rosedale Reaper,30/01/1981,40,,"Liberty, Missouri",United States,"5'10""",170 lbs,K2L Grindhouse,Welterweight,25,5,16,4,,25,4,3,2,
/fighter/Pedro-Nobre-44211,Pedro Nobre,The Rock,13/02/1986,35,,"Rio de Janeiro, Rio de Janeiro",Brazil,"5'5""",125 lbs,Brazilian Top Team,Flyweight,21,12,5,4,,21,2,1,3,
/fighter/Rich-Hale-20376,Rich Hale,Rare Breed,17/05/1985,36,,"Tempe, Arizona",United States,"6'4""",240 lbs,Koncrete Gym,Heavyweight,23,11,8,4,,23,3,0,4,
/fighter/Sky-Moiseichik-41392,Sky Moiseichik,El Chivo Loco,11/07/1978,43,,"St. Petersburg, Florida",United States,"5'10""",138 lbs,American Top Team Miramar,Featherweight,7,1,3,3,,7,2,2,3,
/fighter/Mariya-Agapova-206861,Mariya Agapova,,07/04/1997,24,,"Pavlodar, Pavlodar",Kazakhstan,"5'6""",125 lbs,American Top Team,Flyweight,9,3,4,2,,9,1,0,1,
/fighter/Alejandro-Perez-13428,Alejandro Perez,Turbo,02/09/1989,31,,Estado de Mexico,Mexico,"5'6""",135 lbs,American Kickboxing Academy,Bantamweight,21,9,5,7,,21,2,3,3,
/fighter/David-Conte-281211,David Conte,,08/07/1985,36,,,United States,"0'0""",145 lbs,,Featherweight,0,0,0,0,,0,0,1,0,
/fighter/Fabacary-Diatta-224141,Fabacary Diatta,,16/10/1996,24,,Aubervilliers,France,"5'9""",145 lbs,Atch Academy,Featherweight,7,2,1,4,,7,0,0,0,
/fighter/Davin-Clark-19714,Davin Clark,Relentless,11/01/1982,39,,"San Jose, California",United States,"6'2""",185 lbs,American Kickboxing Academy,Middleweight,6,2,1,3,,6,1,2,0,
/fighter/Janay-Harding-164517,Janay Harding,Hollowpoint,28/09/1994,26,,"Gold Coast, Queensland",Australia,"5'10""",145 lbs,,Featherweight,6,4,0,2,,6,2,1,3,
/fighter/Kotetsu-Boku-1527,Kotetsu Boku,No Face,27/05/1977,44,,Shizuoka,Japan,"5'9""",145 lbs,Krazy Bee,Featherweight,26,13,1,12,,26,3,6,7,
/fighter/Boris-Novachkov-324293,Boris Novachkov,,29/11/1989,31,,Sofia,Bulgaria,"5'7""",145 lbs,,Featherweight,0,0,0,0,,0,0,0,1,
/fighter/Anthony-Giacchina-53673,Anthony Giacchina,,,,,"Selden, New York",United States,"0'0""",160 lbs,,Welterweight,2,0,1,1,,2,1,1,0,
/fighter/Daniel-Gracie-4836,Daniel Gracie,,28/06/1972,49,,Rio de Janeiro,Brazil,"6'2""",205 lbs,Renzo Gracie Jiu-Jitsu,Light Heavyweight,5,0,4,1,,5,2,0,2,
/fighter/Mike-Galitello-176825,Mike Galitello,,,,,"Cumming, Georgia",United States,"5'9""",145 lbs,,Featherweight,2,0,2,0,,2,0,1,1,
