date,result,fighter,opponent,division,stance,dob,method,total_comp_time,round,time,reach,height,age,knockdowns_x,sub_attempts_x,reversals,control_x,takedowns_attempts,total_strikes_attempts_x,sub_attempts_per_min,takedowns_attempts_per_min,sig_strikes_attempts_per_min,avg_knockdowns,avg_sub_attempts,avg_reversals,avg_control,avg_takedowns_attempts,avg_sig_strikes_landed,avg_sig_strikes_attempts,avg_total_strikes_attempts,gender,year,fighter_type
2007-06-12,1,Spencer Fisher,Sam Stout,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,0,0,9,2,240,0.0,0.1333333333333333,15.933333333333334,0.2857142857142857,0.8571428571428571,0.1428571428571428,68.0,1.8571428571428568,34.714285714285715,86.42857142857143,101.14285714285714,Male,2007,Volume_Striker
2007-11-17,0,Spencer Fisher,Frankie Edgar,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,0,0,0,0,47,0.0,0.0,1.4,0.25,0.75,0.125,59.5,1.625,31.125,78.25,94.375,Male,2007,Volume_Striker
2008-06-21,1,Spencer Fisher,Jeremy Stephens,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,0,0,522,5,201,0.0,0.3333333333333333,6.933333333333334,0.2222222222222222,0.6666666666666666,0.1111111111111111,110.88888888888889,2.0,33.888888888888886,81.11111111111111,106.22222222222224,Male,2008,Volume_Striker
2008-10-25,1,Spencer Fisher,Shannon Gugerty,Lightweight,Southpaw,1976-05-09,SUB,836,3,3:56,68.0,67.0,46.0,1,2,1,168,2,101,0.1435406698564593,0.1435406698564593,3.875598086124402,0.3,0.8,0.2,116.6,2.0,33.5,78.4,105.7,Male,2008,Volume_Striker
2009-06-13,1,Spencer Fisher,Caol Uno,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,0,0,186,2,100,0.0,0.1333333333333333,5.666666666666667,0.2727272727272727,0.7272727272727273,0.1818181818181818,122.9090909090909,2.0,36.09090909090909,79.0,105.1818181818182,Male,2009,Volume_Striker
2009-10-24,0,Spencer Fisher,Joe Stevenson,Lightweight,Southpaw,1976-05-09,KO/TKO,543,2,4:03,68.0,67.0,46.0,0,0,0,0,0,51,0.0,0.0,4.861878453038674,0.25,0.6666666666666666,0.1666666666666666,112.66666666666669,1.8333333333333333,34.25,76.08333333333333,100.66666666666669,Male,2009,Volume_Striker
2010-06-19,0,Spencer Fisher,Dennis Siver,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,0,0,0,0,142,0.0,0.0,9.466666666666669,0.2307692307692307,0.6153846153846154,0.1538461538461538,104.0,1.6923076923076923,35.61538461538461,81.15384615384616,103.84615384615384,Male,2010,Volume_Striker
2010-10-16,1,Spencer Fisher,Curt Warburton,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,2,0,126,6,212,0.1333333333333333,0.4,6.2,0.2142857142857142,0.7142857142857143,0.1428571428571428,105.57142857142856,2.0,37.92857142857143,82.0,111.57142857142856,Male,2010,Volume_Striker
2011-02-26,0,Spencer Fisher,Ross Pearson,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,0,0,32,1,156,0.0,0.0666666666666666,10.066666666666666,0.2,0.6666666666666666,0.1333333333333333,100.66666666666669,1.9333333333333331,37.93333333333333,86.6,114.53333333333332,Male,2011,Volume_Striker
2011-08-27,0,Spencer Fisher,Thiago Tavares,Lightweight,Southpaw,1976-05-09,KO/TKO,471,2,2:51,68.0,67.0,46.0,0,0,0,1,0,42,0.0,0.0,1.1464968152866242,0.1875,0.625,0.125,94.4375,1.8125,35.75,81.75,110.0,Male,2011,Volume_Striker
2012-06-22,0,Spencer Fisher,Sam Stout,Lightweight,Southpaw,1976-05-09,U-DEC,900,3,5:00,68.0,67.0,46.0,0,0,0,6,1,184,0.0,0.0666666666666666,10.4,0.1764705882352941,0.5882352941176471,0.1176470588235294,89.23529411764706,1.7647058823529411,37.47058823529412,86.11764705882354,114.3529411764706,Male,2012,Volume_Striker
2006-01-16,0,Jonathan Goulet,Duane Ludwig,Welterweight,Orthodox,1979-07-13,KO/TKO,6,1,0:06,73.0,72.0,42.0,0,0,0,0,0,1,0.0,0.0,10.0,0.0,0.5,1.5,19.5,0.0,7.0,21.5,51.0,Male,2006,Controller_Wrestler
2006-06-28,1,Jonathan Goulet,Luke Cummo,Welterweight,Orthodox,1979-07-13,M-DEC,900,3,5:00,73.0,72.0,42.0,0,0,1,693,9,87,0.0,0.6,2.2666666666666666,0.0,0.3333333333333333,1.3333333333333333,244.0,3.0,10.666666666666666,25.666666666666668,63.0,Male,2006,Controller_Wrestler
2006-08-17,0,Jonathan Goulet,Josh Koscheck,Welterweight,Orthodox,1979-07-13,KO/TKO,250,1,4:10,73.0,72.0,42.0,0,0,0,0,1,2,0.0,0.24,0.48,0.0,0.25,1.0,183.0,2.5,8.25,19.75,47.75,Male,2006,Controller_Wrestler
2007-09-19,0,Jonathan Goulet,Dustin Hazelett,Welterweight,Orthodox,1979-07-13,SUB,74,1,1:14,73.0,72.0,42.0,0,0,0,48,1,0,0.0,0.8108108108108107,0.0,0.0,0.2,0.8,156.0,2.2,6.6,15.8,38.2,Male,2007,Controller_Wrestler
2007-12-08,1,Jonathan Goulet,Paul Georgieff,Welterweight,Orthodox,1979-07-13,SUB,282,1,4:42,73.0,72.0,42.0,0,1,0,212,3,44,0.2127659574468085,0.6382978723404255,3.617021276595744,0.0,0.3333333333333333,0.6666666666666666,165.33333333333334,2.333333333333333,7.333333333333333,16.0,39.16666666666666,Male,2007,Controller_Wrestler
2008-04-19,1,Jonathan Goulet,Kuniyoshi Hironaka,Welterweight,Orthodox,1979-07-13,KO/TKO,427,2,2:07,73.0,72.0,42.0,2,0,0,20,0,81,0.0,0.0,10.960187353629978,0.2857142857142857,0.2857142857142857,0.5714285714285714,144.57142857142858,2.0,10.714285714285714,24.857142857142858,45.142857142857146,Male,2008,Controller_Wrestler
2008-12-10,0,Jonathan Goulet,Mike Swick,Welterweight,Orthodox,1979-07-13,KO/TKO,33,1,0:33,73.0,72.0,42.0,0,0,0,0,1,3,0.0,1.818181818181818,5.454545454545454,0.25,0.25,0.5,126.5,1.875,9.5,22.125,39.875,Male,2008,Controller_Wrestler
2010-05-08,0,Jonathan Goulet,Marcus Davis,Welterweight,Orthodox,1979-07-13,KO/TKO,383,2,1:23,73.0,72.0,42.0,0,0,0,211,5,30,0.0,0.7832898172323759,2.5065274151436028,0.2222222222222222,0.2222222222222222,0.4444444444444444,135.88888888888889,2.2222222222222223,9.0,21.444444444444443,38.77777777777778,Male,2010,Controller_Wrestler
2006-01-16,1,Duane Ludwig,Jonathan Goulet,Welterweight,Orthodox,1978-08-04,KO/TKO,6,1,0:06,70.0,70.0,43.0,1,0,0,1,0,1,0.0,0.0,10.0,0.5,0.0,0.0,124.0,0.0,19.5,29.0,51.0,Male,2006,Controller_Wrestler
2010-01-02,0,Duane Ludwig,Jim Miller,Welterweight,Orthodox,1978-08-04,SUB,151,1,2:31,70.0,70.0,43.0,0,0,0,21,0,28,0.0,0.0,10.728476821192054,0.3333333333333333,0.0,0.0,89.66666666666667,0.0,13.666666666666666,28.33333333333333,43.333333333333336,Male,2010,Controller_Wrestler
2010-03-21,0,Duane Ludwig,Darren Elkins,Welterweight,Orthodox,1978-08-04,KO/TKO,44,1,0:44,70.0,70.0,43.0,0,0,0,3,0,5,0.0,0.0,6.818181818181818,0.25,0.0,0.0,68.0,0.0,10.5,22.5,33.75,Male,2010,Controller_Wrestler
2010-11-13,1,Duane Ludwig,Nick Osipczak,Welterweight,Orthodox,1978-08-04,S-DEC,900,3,5:00,70.0,70.0,43.0,0,0,0,63,4,238,0.0,0.2666666666666666,15.4,0.2,0.0,0.0,67.0,0.8,28.2,64.2,74.6,Male,2010,Controller_Wrestler
2011-08-14,1,Duane Ludwig,Amir Sadollah,Welterweight,Orthodox,1978-08-04,U-DEC,900,3,5:00,70.0,70.0,43.0,0,0,0,99,2,331,0.0,0.1333333333333333,21.866666666666667,0.1666666666666666,0.0,0.0,72.33333333333333,1.0,44.0,108.16666666666669,117.33333333333331,Male,2011,Controller_Wrestler
2012-01-20,0,Duane Ludwig,Josh Neer,Welterweight,Orthodox,1978-08-04,SUB,184,1,3:04,70.0,70.0,43.0,0,0,0,10,0,53,0.0,0.0,14.999999999999998,0.1428571428571428,0.0,0.0,63.42857142857143,0.8571428571428571,41.142857142857146,99.28571428571428,108.14285714285714,Male,2012,Controller_Wrestler
2012-05-26,0,Duane Ludwig,Dan Hardy,Welterweight,Orthodox,1978-08-04,KO/TKO,231,1,3:51,70.0,70.0,43.0,0,0,0,0,0,39,0.0,0.0,9.87012987012987,0.125,0.0,0.0,55.5,0.75,38.125,91.625,99.5,Male,2012,Controller_Wrestler
2012-09-29,0,Duane Ludwig,Che Mills,Welterweight,Orthodox,1978-08-04,KO/TKO,148,1,2:28,70.0,70.0,43.0,0,0,0,0,0,13,0.0,0.0,4.0540540540540535,0.1111111111111111,0.0,0.0,49.333333333333336,0.6666666666666666,34.111111111111114,82.55555555555556,89.88888888888889,Male,2012,Controller_Wrestler
2006-01-16,0,Melvin Guillard,Josh Neer,Lightweight,Orthodox,1983-03-30,SUB,260,1,4:20,71.0,69.0,39.0,0,0,0,103,2,53,0.0,0.4615384615384615,11.76923076923077,0.0,0.5,0.0,149.0,2.5,15.0,45.0,47.0,Male,2006,Knockout_Artist
2006-05-27,1,Melvin Guillard,Rick Davis,Lightweight,Orthodox,1983-03-30,KO/TKO,97,1,1:37,71.0,69.0,39.0,1,0,0,2,0,28,0.0,0.0,17.31958762886598,0.3333333333333333,0.3333333333333333,0.0,100.0,1.6666666666666667,13.333333333333334,39.333333333333336,40.66666666666666,Male,2006,Knockout_Artist
2006-09-23,1,Melvin Guillard,Gabe Ruediger,Lightweight,Orthodox,1983-03-30,KO/TKO,361,2,1:01,71.0,69.0,39.0,2,0,0,72,3,45,0.0,0.4986149584487535,6.64819944598338,0.75,0.25,0.0,93.0,2.0,15.0,39.5,41.75,Male,2006,Knockout_Artist
2007-04-05,0,Melvin Guillard,Joe Stevenson,Lightweight,Orthodox,1983-03-30,SUB,27,1,0:27,71.0,69.0,39.0,0,0,0,3,0,7,0.0,0.0,15.555555555555555,0.6,0.2,0.0,75.0,1.6,12.2,33.0,34.8,Male,2007,Knockout_Artist
2007-12-29,0,Melvin Guillard,Rich Clementi,Lightweight,Orthodox,1983-03-30,SUB,280,1,4:40,71.0,69.0,39.0,0,0,0,28,1,18,0.0,0.2142857142857142,3.8571428571428568,0.5,0.1666666666666666,0.0,67.16666666666667,1.5,11.0,30.5,32.0,Male,2007,Knockout_Artist
2008-07-05,1,Melvin Guillard,Dennis Siver,Lightweight,Orthodox,1983-03-30,KO/TKO,36,1,0:36,71.0,69.0,39.0,2,0,0,20,0,15,0.0,0.0,25.0,0.7142857142857143,0.1428571428571428,0.0,60.42857142857143,1.2857142857142858,10.857142857142858,28.285714285714285,29.571428571428573,Male,2008,Knockout_Artist
2009-06-20,1,Melvin Guillard,Gleison Tibau,Lightweight,Orthodox,1983-03-30,S-DEC,900,3,5:00,71.0,69.0,39.0,0,0,0,10,4,56,0.0,0.2666666666666666,3.333333333333333,0.625,0.125,0.0,54.125,1.625,11.125,31.0,32.875,Male,2009,Knockout_Artist
2009-09-16,0,Melvin Guillard,Nate Diaz,Lightweight,Orthodox,1983-03-30,SUB,433,2,2:13,71.0,69.0,39.0,1,0,0,43,3,43,0.0,0.4157043879907621,5.819861431870669,0.6666666666666666,0.1111111111111111,0.0,52.888888888888886,1.7777777777777777,11.11111111111111,32.22222222222222,34.0,Male,2009,Knockout_Artist
2010-02-06,1,Melvin Guillard,Ronys Torres,Lightweight,Orthodox,1983-03-30,U-DEC,900,3,5:00,71.0,69.0,39.0,0,0,2,96,0,86,0.0,0.0,5.4,0.6,0.1,0.2,57.2,1.6,13.4,37.1,39.2,Male,2010,Knockout_Artist
2010-05-29,1,Melvin Guillard,Waylon Lowe,Lightweight,Orthodox,1983-03-30,KO/TKO,208,1,3:28,71.0,69.0,39.0,1,0,0,2,0,27,0.0,0.0,6.057692307692308,0.6363636363636364,0.0909090909090909,0.1818181818181818,52.18181818181818,1.4545454545454546,13.454545454545457,35.63636363636363,38.09090909090909,Male,2010,Knockout_Artist
2010-09-25,1,Melvin Guillard,Jeremy Stephens,Lightweight,Orthodox,1983-03-30,S-DEC,900,3,5:00,71.0,69.0,39.0,0,0,0,0,1,168,0.0,0.0666666666666666,11.2,0.5833333333333334,0.0833333333333333,0.1666666666666666,47.833333333333336,1.4166666666666667,18.416666666666668,46.66666666666666,48.91666666666666,Male,2010,Knockout_Artist
2011-01-22,1,Melvin Guillard,Evan Dunham,Lightweight,Orthodox,1983-03-30,KO/TKO,178,1,2:58,71.0,69.0,39.0,2,0,0,5,0,44,0.0,0.0,11.123595505617978,0.6923076923076923,0.0769230769230769,0.1538461538461538,44.53846153846154,1.3076923076923077,18.307692307692307,45.61538461538461,48.53846153846154,Male,2011,Knockout_Artist
2011-07-02,1,Melvin Guillard,Shane Roller,Lightweight,Orthodox,1983-03-30,KO/TKO,132,1,2:12,71.0,69.0,39.0,2,0,0,6,0,42,0.0,0.0,19.09090909090909,0.7857142857142857,0.0714285714285714,0.1428571428571428,41.785714285714285,1.2142857142857142,18.214285714285715,45.35714285714285,48.07142857142857,Male,2011,Knockout_Artist
2011-10-08,0,Melvin Guillard,Joe Lauzon,Lightweight,Orthodox,1983-03-30,SUB,47,1,0:47,71.0,69.0,39.0,0,0,0,0,0,6,0.0,0.0,7.659574468085107,0.7333333333333333,0.0666666666666666,0.1333333333333333,39.0,1.1333333333333333,17.2,42.73333333333333,45.266666666666666,Male,2011,Knockout_Artist
2012-01-20,0,Melvin Guillard,Jim Miller,Lightweight,Orthodox,1983-03-30,SUB,184,1,3:04,71.0,69.0,39.0,0,0,0,1,0,31,0.0,0.0,8.478260869565217,0.6875,0.0625,0.125,36.625,1.0625,17.125,41.6875,44.375,Male,2012,Knockout_Artist
2012-07-07,1,Melvin Guillard,Fabricio Camoes,Lightweight,Orthodox,1983-03-30,U-DEC,900,3,5:00,71.0,69.0,39.0,0,0,0,83,1,125,0.0,0.0666666666666666,6.733333333333333,0.6470588235294118,0.0588235294117647,0.1176470588235294,39.35294117647059,1.0588235294117647,18.294117647058822,45.1764705882353,49.11764705882353,Male,2012,Knockout_Artist
2012-08-11,0,Melvin Guillard,Donald Cerrone,Lightweight,Orthodox,1983-03-30,KO/TKO,76,1,1:16,71.0,69.0,39.0,1,0,0,4,0,28,0.0,0.0,22.105263157894736,0.6666666666666666,0.0555555555555555,0.1111111111111111,37.388888888888886,1.0,17.833333333333332,44.22222222222222,47.94444444444444,Male,2012,Knockout_Artist
2012-12-29,0,Melvin Guillard,Jamie Varner,Lightweight,Orthodox,1983-03-30,S-DEC,900,3,5:00,71.0,69.0,39.0,0,1,0,59,1,117,0.0666666666666666,0.0666666666666666,7.466666666666667,0.631578947368421,0.1052631578947368,0.1052631578947368,38.526315789473685,1.0,19.894736842105264,47.78947368421053,51.578947368421055,Male,2012,Knockout_Artist
2013-07-27,1,Melvin Guillard,Mac Danzig,Lightweight,Orthodox,1983-03-30,KO/TKO,467,2,2:47,71.0,69.0,39.0,1,0,0,40,0,92,0.0,0.0,11.306209850107066,0.65,0.1,0.1,38.6,0.95,20.85,49.8,53.6,Male,2013,Knockout_Artist
2013-10-26,0,Melvin Guillard,Ross Pearson,Lightweight,Orthodox,1983-03-30,DRAW,117,1,1:57,71.0,69.0,39.0,0,0,0,4,1,29,0.0,0.5128205128205129,14.871794871794872,0.6190476190476191,0.0952380952380952,0.0952380952380952,36.95238095238095,0.9523809523809524,20.285714285714285,48.80952380952381,52.42857142857143,Male,2013,Knockout_Artist
2014-03-08,0,Melvin Guillard,Michael Johnson,Lightweight,Orthodox,1983-03-30,U-DEC,900,3,5:00,71.0,69.0,39.0,0,0,0,0,1,103,0.0,0.0666666666666666,6.866666666666666,0.5909090909090909,0.0909090909090909,0.0909090909090909,35.27272727272727,0.9545454545454546,20.363636363636363,51.27272727272727,54.72727272727273,Male,2014,Knockout_Artist
2006-01-16,1,Josh Neer,Melvin Guillard,Welterweight,Orthodox,1983-03-24,SUB,260,1,4:20,72.0,71.0,39.0,0,2,0,51,1,14,0.4615384615384615,0.2307692307692307,2.076923076923077,0.0,1.0,0.0,25.5,1.0,1.5,4.5,7.0,Male,2006,Submission_Specialist
2006-04-06,1,Josh Neer,Joe Stevenson,Welterweight,Orthodox,1983-03-24,U-DEC,900,3,5:00,72.0,71.0,39.0,1,0,0,476,0,150,0.0,0.0,8.4,0.3333333333333333,0.6666666666666666,0.0,175.66666666666666,0.6666666666666666,16.333333333333332,45.0,54.66666666666666,Male,2006,Submission_Specialist
2006-07-08,0,Josh Neer,Joshua Burkman,Welterweight,Orthodox,1983-03-24,U-DEC,900,3,5:00,72.0,71.0,39.0,0,1,1,190,3,64,0.0666666666666666,0.2,2.6,0.25,0.75,0.25,179.25,1.25,17.0,43.5,57.0,Male,2006,Submission_Specialist
2006-08-26,0,Josh Neer,Nick Diaz,Welterweight,Orthodox,1983-03-24,SUB,702,3,1:42,72.0,71.0,39.0,0,0,0,70,2,71,0.0,0.1709401709401709,5.2991452991453,0.2,0.6,0.2,157.4,1.4,18.6,47.2,59.8,Male,2006,Submission_Specialist
2008-04-02,1,Josh Neer,Din Thomas,Welterweight,Orthodox,1983-03-24,U-DEC,900,3,5:00,72.0,71.0,39.0,0,0,0,492,4,210,0.0,0.2666666666666666,10.933333333333334,0.1666666666666666,0.5,0.1666666666666666,213.16666666666663,1.8333333333333333,28.83333333333333,66.66666666666667,84.83333333333333,Male,2008,Submission_Specialist
2008-09-17,0,Josh Neer,Nate Diaz,Welterweight,Orthodox,1983-03-24,S-DEC,900,3,5:00,72.0,71.0,39.0,0,4,0,336,8,74,0.2666666666666666,0.5333333333333333,3.333333333333333,0.1428571428571428,1.0,0.1428571428571428,230.7142857142857,2.7142857142857144,28.428571428571427,64.28571428571429,83.28571428571429,Male,2008,Submission_Specialist
2009-02-07,1,Josh Neer,Mac Danzig,Welterweight,Orthodox,1983-03-24,SUB,516,2,3:36,72.0,71.0,39.0,0,3,0,133,0,119,0.3488372093023256,0.0,11.16279069767442,0.125,1.25,0.125,218.5,2.375,30.625,68.25,87.75,Male,2009,Submission_Specialist
2009-08-08,0,Josh Neer,Kurt Pellegrino,Welterweight,Orthodox,1983-03-24,U-DEC,900,3,5:00,72.0,71.0,39.0,0,1,1,33,0,91,0.0666666666666666,0.0,3.2,0.1111111111111111,1.2222222222222223,0.2222222222222222,197.88888888888889,2.111111111111111,29.88888888888889,66.0,88.11111111111111,Male,2009,Submission_Specialist
2009-10-24,0,Josh Neer,Gleison Tibau,Welterweight,Orthodox,1983-03-24,U-DEC,900,3,5:00,72.0,71.0,39.0,0,0,0,39,0,123,0.0,0.0,6.6,0.1,1.1,0.2,182.0,1.9,29.3,69.3,91.6,Male,2009,Submission_Specialist
2011-10-01,1,Josh Neer,Keith Wisniewski,Welterweight,Orthodox,1983-03-24,KO/TKO,600,2,5:00,72.0,71.0,39.0,0,1,0,42,0,200,0.1,0.0,15.9,0.0909090909090909,1.0909090909090908,0.1818181818181818,169.27272727272728,1.7272727272727273,35.09090909090909,77.45454545454545,101.45454545454544,Male,2011,Submission_Specialist
2012-01-20,1,Josh Neer,Duane Ludwig,Welterweight,Orthodox,1983-03-24,SUB,184,1,3:04,72.0,71.0,39.0,0,1,0,69,3,21,0.3260869565217391,0.9782608695652172,6.521739130434782,0.0833333333333333,1.0833333333333333,0.1666666666666666,160.91666666666666,1.8333333333333333,32.583333333333336,72.66666666666667,94.75,Male,2012,Submission_Specialist
2012-06-08,0,Josh Neer,Mike Pyle,Welterweight,Orthodox,1983-03-24,KO/TKO,296,1,4:56,72.0,71.0,39.0,0,0,0,9,1,59,0.0,0.2027027027027027,7.094594594594594,0.0769230769230769,1.0,0.1538461538461538,149.23076923076923,1.7692307692307692,31.53846153846154,69.76923076923077,92.0,Male,2012,Submission_Specialist
2012-10-05,0,Josh Neer,Justin Edwards,Welterweight,Orthodox,1983-03-24,SUB,45,1,0:45,72.0,71.0,39.0,0,0,0,20,1,0,0.0,1.3333333333333333,0.0,0.0714285714285714,0.9285714285714286,0.1428571428571428,140.0,1.7142857142857142,29.285714285714285,64.78571428571429,85.42857142857143,Male,2012,Submission_Specialist
2013-02-23,0,Josh Neer,Court McGee,Welterweight,Orthodox,1983-03-24,U-DEC,900,3,5:00,72.0,71.0,39.0,0,0,0,4,0,160,0.0,0.0,10.133333333333333,0.0666666666666666,0.8666666666666667,0.1333333333333333,130.93333333333334,1.6,31.53333333333333,70.6,90.4,Male,2013,Submission_Specialist
2006-01-16,0,Jorge Rivera,Chris Leben,Middleweight,Orthodox,1972-02-28,KO/TKO,104,1,1:44,73.0,73.0,50.0,0,0,0,27,0,11,0.0,0.0,5.769230769230769,0.2,0.0,0.2,186.6,0.6,32.0,56.6,91.0,Male,2006,Knockout_Artist
2006-11-11,1,Jorge Rivera,Edwin DeWees,Middleweight,Orthodox,1972-02-28,KO/TKO,157,1,2:37,73.0,73.0,50.0,1,0,0,15,0,56,0.0,0.0,16.43312101910828,0.3333333333333333,0.0,0.1666666666666666,158.0,0.5,30.666666666666668,54.333333333333336,85.16666666666667,Male,2006,Knockout_Artist
2007-02-03,0,Jorge Rivera,Terry Martin,Middleweight,Orthodox,1972-02-28,KO/TKO,14,1,0:14,73.0,73.0,50.0,0,0,0,0,0,2,0.0,0.0,8.571428571428571,0.2857142857142857,0.0,0.1428571428571428,135.42857142857142,0.4285714285714285,26.428571428571427,46.85714285714285,73.28571428571429,Male,2007,Knockout_Artist
2008-01-19,1,Jorge Rivera,Kendall Grove,Middleweight,Orthodox,1972-02-28,KO/TKO,80,1,1:20,73.0,73.0,50.0,1,0,0,65,1,42,0.0,0.75,28.5,0.375,0.0,0.125,126.625,0.5,26.625,45.75,69.375,Male,2008,Knockout_Artist
2008-06-07,0,Jorge Rivera,Martin Kampmann,Middleweight,Orthodox,1972-02-28,SUB,164,1,2:44,73.0,73.0,50.0,0,1,0,3,0,7,0.3658536585365853,0.0,2.1951219512195124,0.3333333333333333,0.1111111111111111,0.1111111111111111,112.88888888888889,0.4444444444444444,23.88888888888889,41.333333333333336,62.44444444444444,Male,2008,Knockout_Artist
2009-04-01,1,Jorge Rivera,Nissen Osterneck,Middleweight,Orthodox,1972-02-28,S-DEC,900,3,5:00,73.0,73.0,50.0,1,0,1,424,8,85,0.0,0.5333333333333333,3.2,0.4,0.1,0.2,144.0,1.2,24.4,42.0,64.7,Male,2009,Knockout_Artist
2009-10-24,1,Jorge Rivera,Rob Kimmons,Middleweight,Orthodox,1972-02-28,KO/TKO,713,3,1:53,73.0,73.0,50.0,1,0,0,439,0,224,0.0,0.0,11.44460028050491,0.4545454545454545,0.0909090909090909,0.1818181818181818,170.8181818181818,1.0909090909090908,28.181818181818183,50.54545454545455,79.18181818181819,Male,2009,Knockout_Artist
